"rating","titles","authors","location","date","tenure","recommends","pros","cons","adv_mgmt"
"1.0","""Dysfunctional collection of acquisitions and employee neglect""","Current Employee - Anonymous Employee","","2017-10-05","I have been working at Korn Ferry full-time (More than 8 years)","Doesn't RecommendNegative OutlookDisapproves of CEO","Cannot speak for Search or Future step, but Hay Group and the ""products"" have a great pool of talented individuals that care for their work and have the best interests of the clients at heart. Korn ferry acquired world class ip through pdi, lominger, and hay group. They also were lucky enough to bring exceptional employees and legacy clients on board.","- Leadership is disconnected. No idea what is going on in the trenches- leadership is not transparent. They ask for patience after each acquisition but nothing is solved and merits are not recognized. Let too many talented folks leave. Treat the firms talent like commodities which is reflected in the poor benefits, salary increases, and turnover.- aside from the sub standard benefits, there are few career paths for younger employees. Senior client partners are poached or hired every week. Org is extremely top heavy. All chiefs no Indians.- froze sales travel.- products don't reflect client feedback. Products group creates in a bubble and fails to hit the mark. Embarrassment to client facing folks who provide feedback...feels like a wall between product development and client feedback","Upper management, look at your turnover with employees below the senior client partner level. The culture is eroding. Products don't reflect client desires. Acquiring companies and not improving or amalgamating makes such action senseless to shareholders and employees alike. Company needs a wake up call"
"4.0","""Project Coordinator""","Current Employee - Anonymous Employee","","2017-09-07","I have been working at Korn Ferry full-time","","can find some peer supportVery accessible locationEstablish a routineStructured advancement if you inquire about it","cliques, gossipworkload can be overwhelming and near impossible to pull of in 8-hour day without doing OT and OT is discourageddog eat dog environment","penalize gossip - it especially affects performance when people react poorly to the gossip's targetoffer more day-to-day incentives"
"4.0","""Consultant""","Current Employee - Anonymous Employee","","2017-09-07","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Plenty of resources that are available to tap into and people are friendly.","Management could be more conscious of working towards developing their people, otherwise they may lose valuable talent.",""
"3.0","""Great benefits that come with lots of change""","Current Employee - Sales Operations Analyst","Minneapolis, MN","2017-09-14","I have been working at Korn Ferry full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Extremely competitive benefits. The programs that are run enhance your learning and business acumen extremely fast. A lot of informal settings to practice skills and learn about new areas of the business.","Lots of changes to structure, roles, alignment with the high acquisition strategy. You MUST negotiate high pay once entering the organization, merit increases were just introduced this year and were meniscal compared to the gap to paying market value. Being promoted or moving positions pay off of previous comp and not competitive, must be willing to put in the time to gain great experience...to leverage somewhere else.",""
"4.0","""Great company focused on fee-earning employees""","Former Employee - Anonymous Employee","","2017-09-04","I worked at Korn Ferry full-time","","Relaxed work environment, top brand in the industry","Little attention paid to those in support roles",""
"3.0","""Associate""","Current Employee - Anonymous Employee","","2017-09-18","I have been working at Korn Ferry full-time","","Very strong Partners that look out for the team.","Not great office culture as offices are mostly empty.",""
"1.0","""Sr. Recruiter""","Former Employee - Anonymous Employee","","2017-10-05","I worked at Korn Ferry full-time","Doesn't RecommendNegative OutlookDisapproves of CEO","Great salary and benefits were competitive for the industry.","Great opportunity for those who are looking to get into the recruiting field but no place to create longevity/or to grow. This place is a SWEAT SHOP! Management does not care about employees. It's all about the number and you are a number. Please believe that. There is also a high turn over. No ones stays... only long enough to find their next recruitment opportunity. Steer clear unless you are desperate.","Implement a learning & development program (courses) for management and for those that are looking to grow within the management/company. You are slotting individual in management roles with no solid experience and with poor communication skills when delivering, addressing and speak to employees. Slavery days are over!!! Beware before you are slap with a discrimination lawsuit or visited by the EEOC again. As there has been many cases involving this organization. Create a culture (teams) organization that truly cares about their teams (employee)."
"4.0","""Recruiter""","Former Employee - Anonymous Employee","","2017-09-01","I worked at Korn Ferry full-time","RecommendsApproves of CEO","Great benefits, bonus perks, vacation, managers easy to approach","Sometimes to big when you need assistance.",""
"1.0","""Does not deserve to be call 'Professional' Services""","Current Employee - Senior Consultant","Chicago, IL","2017-09-29","I have been working at Korn Ferry full-time (More than 5 years)","Doesn't RecommendPositive OutlookDisapproves of CEO","Struggling to find one- I guess salaries are high for Partners","Focused on making as much money as they can from clients, not concerned with client impact. People with PhDs think they are more intelligent that everyone else but don't know the first thing about it. Focused on metrics- but don't care if they are the right ones! Unprofessional, even senior Partners playing playground games. Our CEO has not one leadership bone in his body.","Basic leadership training- don't we sell this to clients? There are too many incompetent people in this company continuing to be promoted."
"1.0","""Only for those right out of college""","Current Employee - Recruiter","","2017-09-26","I have been working at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookDisapproves of CEO","This is a great recruiting opportunity for someone right out of college. Not an experienced recruiter.","Work life balance not the same across all clients. They allow some to work remote but not everyone. They do not reward employees. No merit increases. You have no say of what account you work on. They move you around like a ping pong and you have no choice.","Listen to employees. Reward with annual performance reviews and increases. Pay equity needs to be reviewed."
"3.0","""Consultant""","Current Employee - Associate Consultant","Philadelphia, PA","2017-09-06","I have been working at Korn Ferry full-time (More than 3 years)","","Collaborative - team environment, work from home flexibility, not micromanaged","Pay is lower than industry average, lack professional development opportunities","create more professional development opportunities"
"3.0","""Associate Recruiter""","Current Employee - Associate Recruiter","Oklahoma City, OK","2017-09-06","I have been working at Korn Ferry full-time (More than a year)","RecommendsNeutral OutlookNo opinion of CEO","Korn Ferry FutureStep has a great reputation and works with some of the most reputable companies. This affords employees many career opportunities.","Lack of support for remote employees, performance reviews have little meaning, Average benefits, average pay. Could be more communicative.","Because so many employees work remotely or on client site, I would advise more knowledge sharing and a better website for candidates to access remotely using a personal computer."
"1.0","""Needs to practice what they preach""","Current Employee - Anonymous Employee","","2017-09-21","I have been working at Korn Ferry full-time (More than 5 years)","Doesn't RecommendPositive OutlookDisapproves of CEO","- Great solutions and they are true industry leaders with their own business strategy.- The longer you stay, the more vacation you receive.","They would rather pay someone straight out of a 4 year college with no experience more money than someone who has been with the company for 7 years with a Masters Degree in a relevant field, who has been promoted twice and received consistent high annual reviews. This situation is a common issue within the firm.","Pay your high performers and high potentials what is market value. Plain and simple."
"1.0","""Principle Consultant""","Former Employee - Anonymous Employee","","2017-09-19","I worked at Korn Ferry full-time","Neutral OutlookDisapproves of CEO","High degree of independence and flexible work schedule. Don't have to wear suit and tie everyday so save money on clothes. Nice perks for commuters.","No raises. Ever, even when financial performance is outstanding. Promotions come with laughable salary increases, if any, even though your billable rate and BD requirements go up and you make more money for the firm. Bonuses are not guaranteed either. Any kind of compensation decision is shrouded in secrecy.","Would provide advice, but any advice seems to fall on deaf ears."
"4.0","""Good company, Know what you're in for""","Current Employee - Associate","Dallas, TX","2017-08-20","I have been working at Korn Ferry full-time (Less than a year)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Good benefits, fair compensation, Fair to new grads","Little to no development, managers are overworked, people are underutilized, tedious work.","Look to taking care of the talent you have rather than constant new people"
"4.0","""The job we learned was not the job we got""","Former Employee - Associate Recruiter","Dallas, TX","2017-08-17","I worked at Korn Ferry (More than a year)","RecommendsPositive OutlookNo opinion of CEO","-People are very nice, management cares and wants to make sure you are happy-they are very reasonable in regards to hours-high sense of community in the office- a lot of young professionals","- you're cold calling if you do talent academy, that's the gig.- hard work < knowing someone high up- must be agile as possible. You'll be with one client one day, and one the next.",""
"4.0","""Analyst""","Current Employee - Analyst","New York, NY","2017-08-13","I have been working at Korn Ferry full-time (More than 5 years)","RecommendsPositive OutlookApproves of CEO","Culture, people are admirable, promising mission","Benefits needs to be improved",""
"3.0","""Strong legacy teams""","Former Employee - Anonymous Employee","Minneapolis, MN","2017-08-24","I worked at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookNo opinion of CEO","Good leadership from legacy organizations - Lominger, PDI, Leader Source, etc. Excellent maternity leave benefits. Name/brand recognition has served me well after leaving the firm. Strong intellectual property.","Difficult environment for growth. Huge gap in pay between consultants and leaders, and the ""vital many"".","You coach your clients to go deep with succession planning, and your consultants advise your clients on best practices in leadership development, team building, and org development. Why aren't you doing these things internally?"
"5.0","""Senior Partner""","Current Employee - Anonymous Employee","","2017-08-07","I have been working at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","Strong brand recognition in the market. Talented, intelligent colleagues who are genuinely interested in doing great work are abundant.","With so many colleagues, products and services, it can take awhile to wrap your arms around the many offerings.","Continue to hire the best consultants in the field. Korn Ferry is heads and shoulders above other human capital management firms across the globe. After personally working at other search and consulting firms, I couldn't imagine working anywhere else. Keep doing what you are doing!"
"4.0","""Principal Consultant""","Former Employee - Anonymous Employee","","2017-08-03","I worked at Korn Ferry part-time","RecommendsPositive Outlook","High level consultants who work collaboratively to meet client needs.Great Intellectual property and contentState of the art consulting content and techniques.Able to work remotely with flexible schedule.","Remote work can lead to a feeling of isolation from colleagues.Not being in on office relationships and activities","Continue to encourage collaboration for consultants.Continue to develop state of the art consulting content for clientsDo a better job of integrating acquisitions"
"1.0","""Project manager""","Former Employee - Senior Project Manager","New York, NY","2017-08-21","I worked at Korn Ferry full-time (More than 5 years)","Doesn't RecommendNegative OutlookDisapproves of CEO","Only KF brand, which probably will run out soon as wellMaternity leave, but be careful. As it would hold you back from career growth(according to my former manager).","Leadership sucksBias by legacyBest place to disengage top talent, but holding them back from promotions and no salary incrementsAs my former manager said ""be a side kick to her, to be promoted""No ethical values","Too late, they are so far from reality and there is no turning back, except sinking ship."
"5.0","""Talent Academy""","Current Employee - Associate Recruiter","Dallas, TX","2017-07-18","I have been working at Korn Ferry full-time (Less than a year)","","Structured, fast paced, friendly, helpful","None at this time.",""
"2.0","""Good name""","Current Employee - Anonymous Employee","","2017-07-27","I have been working at Korn Ferry full-time (More than 10 years)","Doesn't RecommendNegative OutlookDisapproves of CEO","Brand recognition; market place respect","Pay; advancement; consulting not highly regarded",""
"3.0","""Senior Consultant""","Current Employee - Anonymous Employee","","2017-08-01","I have been working at Korn Ferry full-time","RecommendsPositive OutlookNo opinion of CEO","Great relationship on C-level with clients. Small teams which means you get to do a bit of everything. Management empowers all consultants to deliver and manage projects without having very rigid project structure. Very open to apply new ways of doing things.","Brand is unknown in the market. Very rigid internal promotions.","Consider internal candidates for vacant positions."
"3.0","""Words of Caution""","Current Employee - Recruiter","","2017-07-20","I have been working at Korn Ferry full-time (More than 3 years)","Doesn't RecommendPositive OutlookNo opinion of CEO","Growing company that has recently taken on new big clients","There is a big disconnect between upper leadership and those that actually work with our clients. They will continue to move people to new roles within a short amount of time which has a negative impact on our teams and the clients. They do a poor job at recognizing and understanding who puts in the work. They do a terrible job at pre-planning for attrition which causes some of us, like myself, to continue to manage numerous jobs at a time.","Please pay attention to what is currently going on with each account, and just because we have had an account established for many years does not mean that we should stop paying attention."
"1.0","""Smoke and Mirrors""","Current Employee - Senior Recruiter","New York, NY","2017-08-14","I have been working at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNegative OutlookDisapproves of CEO","Great brand and reputation on the executive search side","Leadership is not truthful and changes story or truth to suit them. The leadership takes pride in selling a smoke and mirrors story that is bigger in the pitch than reality. It seems that the senior leadership takes pride in over selling and are not concerned in delivery.","Integrity"
"1.0","""managing consultant""","Former Employee - Anonymous Employee","","2017-08-14","I worked at Korn Ferry part-time","Doesn't Recommend","They have a strong reputation in the marketplace","It is an abusive environment where they expect people to work 12+ hour days and deliver terrible service to their clients","get better leaders"
"2.0","""Regrettable""","Current Employee - Recruiting Coordinator","Chandler, AZ","2017-07-17","I have been working at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookNo opinion of CEO","It's a job. You make decent money and there is OT if you are an hourly worker. If a contract falls through, you will most likely be switched to a different one immediately.","Management doesn't lead. They become ""forgetful"" when explaining important things about the role, like compensation, benefits and so on. If it says discretionary next to the topic, don't hold your breath thinking this company will pay out. Family healthcare is not financially reasonable, and the bonuses and not comparable in the market unless you are a higher spectrum manager. At the end of the day, the feeling of ""you are just a body"" is prevalent.","Learn to be people leaders and value the employees input. The person who can help you with making the job more beneficial, is the employee doing the work. Give incentives that mean something to promote good work. Be up front with all aspects of the job."
"2.0","""Doesn't Reward Employees""","Current Employee - Consultant","Dallas, TX","2017-07-14","I have been working at Korn Ferry full-time (More than 5 years)","Doesn't RecommendNeutral OutlookDisapproves of CEO","Co-workers are bright & motivatedGood teamwork; people help each other for the most part","No raises. Ever. Unless you are promoted. No reward for people who don't want to be promoted but instead just want to do a good job in their current role. A lot of nit-picking and looking for things to criticize lower level employees about. They don't really practice what they preach in terms of people development. If you are young, single, and willing to work 60+ hours a week and travel on your own dime (and perhaps get reimbursed 6 weeks later), you'll fare better than others.","Reward your employees; people at least need cost-of-living increases. You are going to lose good people because of your backwards promotion process and policy of never giving raises. Giving a small bonus that 50% goes to taxes doesn't help people at lower levels of the company. The ones at the ""Joe Schmo"" level (I actually heard a consultant say this one time, about someone making my current salary)."
"4.0","""Great Company""","Current Employee - Associate Recruiter","","2017-07-07","I have been working at Korn Ferry full-time (Less than a year)","Approves of CEO","Great paid time offUsually off during week of ChristmasGreat company and you learn a lotNumber one in Executive search and RPO","Low pay High Turn over",""
"3.0","""Overall""","Former Employee - Executive Assistant","Dallas, TX","2017-07-19","I worked at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookNo opinion of CEO","Great Team / People, Office Environment.","Below average pay, hard to move up.","n/a"
"5.0","""Associate Principal (Korn Ferry Hay Group)""","Current Employee - Anonymous Employee","","2017-07-03","I have been working at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","Very inclusive and supportive culture. Yet, is also entrepreneurial, in that, as a Hay Group consultant you have to market yourself to peers and superiors every day and deliver value.","Overall, none yet. The hardest part is trying to elevate our systems and standards to that which we elevate our clients to. Some expect that we would be best-in-class on all things Human Capital, but that is tough and something we are working on.",""
"2.0","""Sr Recruiter""","Former Employee - Senior Recruiter","Dallas, TX","2017-07-07","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookNo opinion of CEO","Big name consulting firm on your resume","Two layoffs of recruiters already this year (1/17 & 6/17) due to salespeople NOT SELLING selling and managing consultants POOR MANAGEMENT. If services continue to not be sold & current clients are not managed more efficiently, KF will have no choice but to have more layoffs so beware.","Perhaps there is a need for better sales people. Management consultants need to have some backbone re: handling client expectations and delivery of services. They spend too much time putting reports together for their micro-managing leaders. Bad behavior by senior leaders should NOT be tolerated."
"3.0","""A lot of fluff, use discretion""","Current Employee - Anonymous Employee","","2017-07-11","I have been working at Korn Ferry full-time (More than a year)","No opinion of CEO","The executives that visit and work in the ""Dallas"" office are extremely humble and polite. Every director, and VP I met was truly genuine in their approach. I even had the pleasure of meeting the CEO and President. Very great guys hands down. This company pays well, but you will work to earn your keep - no problems there.","Beware of new project launches; a lot of razzmatazz goes into pleasing the client to get the business. Client satisfaction trumps employee morale to the pony where you're left feeling expendable. Turnover and layoffs are frequent. It takes a lot of schmoozing branded as ""networking"" to get into another role. New managers are not trained and coached to be great managers. They're left to their own devices for do king that by the time the team's concerns are heard the solution is to bait and switch rather than coach. No work like balance for associate recruiters and coordinators unless a loophole is found. Too many projects have unrealistic expectations around output and way too much busy work that should be automated.","Get rid of Talent Link and Foresight; you're doing your clients a disservice by using these platforms.Train your leaders. Even people who come over as leaders need to learn and unlearn some things. Be sure that your leaders are telling this they lead the correct information as far as advancement opoortunitues, understanding policies, knowing the Korn Ferry ""way"".Give your employees who aren't in leadership roles something to aspire to, something that makes them feel good about joining the company other than them making more money: an attractive rewards program; available continuous learning trainings that are relevant, etc."
"3.0","""Great benefits, no loyalty""","Former Employee - Graphic Designer","Dallas, TX","2017-07-11","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNegative OutlookNo opinion of CEO","The Dallas office is young, diverse, and friendly. Benefits are great.","People are expendable. A lot of bureaucracy to get anything done. Slow to adapt.",""
"3.0","""Senior Associate""","Former Employee - Anonymous Employee","","2017-07-10","I worked at Korn Ferry full-time","RecommendsApproves of CEO","Great people to work with!","Hard to move up, harder environment for women, work/life balance",""
"5.0","""Associate Recruiter""","Current Employee - Associate Recruiter","Dallas, TX","2017-06-26","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Great opportunity to grow. They provide all the tools you need to be successful . Excellent benefits and they really go out of their way to include everyone as a team.","There are no Major Cons.",""
"3.0","""Consultant""","Current Employee - Anonymous Employee","","2017-07-07","I have been working at Korn Ferry full-time (Less than a year)","","Interesting client work, bright and collaborative colleagues, decent compensation","retirement benefits are well below market, culture is challenging to navigate",""
"1.0","""Worst experience ever in more than 20 years""","Former Employee - Anonymous Employee","","2017-07-19","I worked at Korn Ferry full-time","Doesn't RecommendPositive OutlookDisapproves of CEO","I can't think of any","To be clear, this is a review of Korn Ferry Futurestep from a candidate's perspective. I went through a 7 month process of being interviewed, re-interviewed, assessed, etc., etc. with no clear conclusion, for a relatively senior role in the company.While I was genuinely enthusiastic about the role at the beginning, the lack of communication, absence of any direction, and the fact that I had to chase them, turned me off completely.This might be par for the course in other companies, in fact most companies. But in a talent acquisition company, it's absolutely unacceptable. If they treat their clients' candidates the way they treat their own candidates, I can't imagine they'll hold onto those clients for very long.",""
"5.0","""Excellent place to work""","Current Employee - Senior Talent Acquisition Specialist","Buenos Aires, AZ","2017-06-15","I have been working at Korn Ferry full-time (More than a year)","RecommendsPositive OutlookNo opinion of CEO","Really flexible schedule, home office, great leadership. The office environment allows for integration and participation. It is located near downtown and it is very accessible","The office looks a bit crowded, not really much to complain about. Rumor has it that salaries are a bit under the average in the area. Attrition has risen because of that",""
"2.0","""Awful""","Current Employee - Anonymous Employee","","2017-06-07","I have been working at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookDisapproves of CEO","The people are nice and flexible work hours.","The worst company I've ever worked for. Cheap benefits and low bonuses. The infrastructure is terrible. Corporate has no idea how search or content bsultung works. If I were a client I would stay away.","Get your act together. Invest in your people and your infrastructure. Wall Street isn't your client."
"4.0","""Knowledge Manager""","Current Employee - Knowledge Manager","Atlanta, GA","2017-05-22","I have been working at Korn Ferry (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Great people and an interesting company with a strong reputation in the marketplace","Culture is very Partner-focused and there's less emphasis on the development of people in lower levels.",""
"1.0","""Hideously Political, Incredibly Disappointing""","Former Employee - Anonymous Employee","","2017-06-20","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNeutral OutlookDisapproves of CEO","Incredible brand and second-to-none intellectual property.","Company has made little progress in integrating acquired companies & resulting overlap leads to infighting and absolutely appalling behaviors. Leaders have zero emotional intelligence. Ego is rampant. Regardless of the presence of female leaders, this is still an old boy's club. The result is that the women can be brutally unkind to each other. Complete disappointment.","Operationalize the business strategy. Focus on long term success in addition to short term shareholder gain. And pay your teams a living wage."
"5.0","""Great Experience - Changed the course of my career""","Former Employee - Anonymous Employee","","2017-05-19","","","Worked with a fantastic team of individuals who made work fulfilling and fun.","Lots of internal politics (which I'm horrible at navigating) up at the very top added to a sense of confusion",""
"1.0","""Associates are there to serve Partners""","Former Employee - Senior Associate","Chicago, IL","2017-06-12","I worked at Korn Ferry full-time (More than 5 years)","Doesn't RecommendPositive Outlook","Great name...everyone knows it.Deep resources...everything you need on hand.","You are basically a slave to the Partners, and not valued as a professional.Sexism is rampant. Very much a good old boy culture.","Make professional development a reality, not just a promise to lure in talent."
"1.0","""Churn and burn fake corporate culture""","Former Employee - Recruiter","Dallas, TX","2017-06-11","I worked at Korn Ferry full-time (Less than a year)","Negative OutlookNo opinion of CEO","The Kornferry company name carries weight on a resume. They have a up to date software and access to many different resources for recruiting.","This organization is a political dictatorship. Management has no idea what's going on with their employees and morale is incredibly low. The company culture is one where people think they are more important and impressive than they really are. This is a glorified call center environment with malicious leadership in many positions. No respect for employees but a lot of false promises made about career opportunities for advancement.","Treat your employees with respect! quit over promising to clients and candidates as well as employees about what you can do for them."
"4.0","""Challenging and rewarding""","Current Employee - Senior Business Analyst","Minneapolis, MN","2017-05-07","I have been working at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookNo opinion of CEO","Great work variety, interesting challenges","Cultural identity not clearly defined",""
"3.0","""Senior Consultant""","Current Employee - Anonymous Employee","New York, NY","2017-05-16","I have been working at Korn Ferry full-time (More than 3 years)","RecommendsNeutral OutlookDisapproves of CEO","Very supportive and smart colleagues, willing to help each other, collegial atmosphere","pay is below market, lack of transparancy","step up on communication plans, create more clarity and transparancy around important decisions"
"2.0","""Culture in China""","Former Employee - Anonymous Employee","","2017-05-12","I worked at Korn Ferry full-time","","It is a great company with good reputation and excellent worldwide recognition. It has a great potential market in a fast growing market like China where lake of understanding of modern HR, it prevented the growth.","In China the new leadership has build a very different culture, very Chinese culture, of dictatorial leadership, and very narrowed business minding. A culture to maintain not to adopt to the size and opportunity of the current Market.","Think for the opportunities, respond to the market size and needs, and act as a public company instead of a small workshop. Business thinking is critical..."
"4.0","""An awesome place to work, learn & grow""","Current Employee - Recruiter","Dallas, TX","2017-04-26","I have been working at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","This is a very progressive, forward thinking company with lots of opportunities to learn & grow. Also promotes diversity & a team-oriented corporate culture.","Newer employees might feel a bit lost & takes a bit of time to get on track but people here are so helpful so don't be afraid to ask for help!","Improve on onboarding; providing an ambassador to new joiners might help."
"1.0","""Not what I expected""","Current Employee - Recruiter","Dallas, TX","2017-05-25","I have been working at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookNo opinion of CEO","World class brand name with innovative products and seemingly limitless resources/systems/data. Attracts great talent to the door initially. Global market leader.","Absolutely no corporate culture, impossible to integrate as a newcomer, employees are not valued or treated well. Seems like the company is in over its head. You aren't done working after you make the sale.","Use the data you have to make decisions. Train your leaders and managers. Tell employees they are doing a good job because so many of them are doing just that. Don't buy into your elite brand name. It's not that good inside. Very disorganized, wing it attitudes all the time."
"4.0","""Administrative Assistant""","Current Employee - Anonymous Employee","","2017-04-26","I have been working at Korn Ferry full-time","","Nice environment to work in","Repetitive work for every day","No advice to management"
"4.0","""Great company""","Current Employee - Anonymous Employee","","2017-04-26","I have been working at Korn Ferry full-time","","Lots of autonomyflat hierarchyfast paced environment","Lack of leadership or mentorshipchallenging workload",""
"5.0","""Great people, great results!""","Current Employee - Anonymous Employee","","2017-04-24","I have been working at Korn Ferry full-time","RecommendsPositive Outlook","Autonomy, Fair pay, purposeful work","High Ambiguity, Long Sales cycle, Lead financialy",""
"4.0","""Recruitment Coordinator""","Current Employee - Anonymous Employee","","2017-04-19","I have been working at Korn Ferry full-time","Recommends","Busy, work from home, Benefits","Lack of promotion and slow to convert",""
"5.0","""Great experience""","Current Employee - Anonymous Employee","","2017-04-18","I have been working at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","Work - life balance and strategic direction of firm.","Advancements needed from a technology perspective.",""
"2.0","""contract""","Current Employee - Associate Recruiter","Dallas, TX","2017-04-24","I have been working at Korn Ferry full-time (Less than a year)","Doesn't RecommendNegative OutlookDisapproves of CEO","Nice Environment, up to date equipment, good people to work with","Very much like all other places tell you that you count but you really don't.Over sell what they do, if you are not the typical corporate behind kisser you will not grow here. The pay is not up to par.","Be truthful,honor what you say, be consistent, stop having favoritism ."
"2.0","""Needs to practice what it preaches""","Former Employee - Associate","","2017-04-28","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Amazing IP and thought leadership. Many amazingly talented (but undervalued) people in this company below a Partner level.","There are real inconsistencies across different countries and offices. While I saw examples of real career opportunities in other markets, in the Australian business where I worked, there we limited career development opportunities for most junior to mid-level staff unless you were one or two of the lucky few. Whether intentional or not it always appeared that you weren't really valued unless you were a senior client patner. There have been some pockets of evidence of this changing since I left but I would urge people interviewing for jobs to dig deeper in this area if career advancement is of importance to you. When I was there, Katie, the local executive chairman was only really concerned in elevating her own public brand and sadly showed little interest in people leadership. While she publically liked to champion gender diversity (which is commendable), her efforts lacked authenticity as I never saw any evidence of her taking junior female staff under her own wing. She was more interested in having a clean and tidy office than a happy and engaged team.","While some senior staff may genuinely have their teams interests at heart there is a long, long way to go before the Australian business develops a more authentic culture and focus on employee engagement. Ironically Korn Ferry has all the tools they could possibly need at their fingertips - some of the best - but like so many consultancies they sadly don't walk their talk. Stop being so hierarchical and break down the ""them and us"" split between 1.) partners and non-partners 2.) KF and Futurestep. KF has so much potential to dominate - don't be a ""could have, should have, would have"" business when it comes to valuing your people."
"4.0","""Great Flexibility""","Current Employee - Senior Project Coordinator","","2017-04-11","I have been working at Korn Ferry full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Good work - life balance. Work from home options.Huge, growing company. Lots of room for advancement.","Benefits cost too much if you want a plan that covers anything.",""
"3.0","""Great Company! Work-life balance can be an issue""","Current Employee - Anonymous Employee","Atlanta, GA","2017-04-06","I have been working at Korn Ferry full-time (More than 5 years)","Approves of CEO","One can grow in his / her career here. The company is generous with holidays. The KF name is a globally respected one. Our office Director is wonderful and approachable.","Extremely long hours with hard work / life balance. If you don't work nights /weekends you are seen as not as committed as those that do. Administrative staff very overworked and morale seems low. Lots of office politics. With all mergers and acquisitions there is confusion on correct ways to do things from an admin perspective.","Just to be more aware of staff burn out due unrealistic expectations and demands."
"5.0","""Great place to grow your career""","Current Employee - Anonymous Employee","San Francisco, CA","2017-04-02","I have been working at Korn Ferry full-time (More than 3 years)","RecommendsPositive OutlookNo opinion of CEO","I came to Korn Ferry because of the quality of their clients, intellectual property and the people who work here. The San Francisco office is especially collaborative and has all line of business represented so is a great place to be able to design innovative client solutions with team members.","There have been a lot of acquisitions over the past few years and the rate of change has been somewhat disruptive as there are some inconsistencies in the level of communication quality amongst some of the senior leaders.","Continue to communicate the strategic direction and provide updates on key milestones that we are achieving as we continue to integrate and grow."
"3.0","""Fast-paced, often frantic. Colleagues and manager will decide your fate.""","Current Employee - Anonymous Employee","","2017-04-14","","RecommendsPositive OutlookNo opinion of CEO","Meritocracy. Fast pace. Very smart and capable colleagues. Full-time remote work is very viable. Lots of autonomy depending on your role. You're trusted and can go far if you can prove that you provide frequent value.","Futurestep is a ""build the plane as you fly it"" organization, as it Korn Ferry at large for the most part. Senior management are supportive but do not communicate or make any attempts to really lead. Your manager will determine if you like your job. You won't get raises or promotions if you're not pushing extremely hard to get them. Pay is generally pretty low unless you get sales credit for engagements.",""
"1.0","""Recruiting coordinator""","Former Employee - Anonymous Employee","Dallas, TX","2017-05-02","I worked at Korn Ferry full-time","Doesn't RecommendNegative OutlookDisapproves of CEO","flex time, and the location","if you take this job be prepared to work with people who are not qualified, overbearing. You will be worked to the bone the work life balance is non-existent. Team members/other employees will throw you under the bus at the drop of dime or to make themselves look good. Insane amount of nepotism, promotions and raises are few and far in between unless you know the right people. pay does not equal the work","stop promoting based on who knows who instead of qualifications . Treat your employees with respect and stop allowing favorites to get away with being disrespectful to other employees"
"4.0","""Good company but lack of advancements""","Current Employee - Anonymous Employee","Los Angeles, CA","2017-03-27","I have been working at Korn Ferry full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Work with good talented people. Work with newer technologies","Constant acquisitions leads to a lot of turmoil.No raises & lack of advancement possibilities","Implement the internal action plan ASAP."
"2.0","""Difficult Culture""","Former Employee - Principal","San Francisco, CA","2017-04-07","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendPositive OutlookDisapproves of CEO","Interesting work, smart colleagues, plenty of autonomy","Overly complex, straying from traditional business","Think before you hire. Open to more creative practices."
"4.0","""Good Company""","Current Employee - Consultant","","2017-03-23","I have been working at Korn Ferry full-time (More than 3 years)","Positive Outlook","Culture, Work Life Balance, Variety of projects","Lack of internal development or lateral growth opportunities",""
"4.0","""Why work anywhere else!""","Current Employee - Anonymous Employee","","2017-03-22","I have been working at Korn Ferry full-time","RecommendsPositive OutlookApproves of CEO","Total focus is on talent. Everything you need to know to build a best in class team/business is here. From acquiring to developing and motivating, we have it.","Competition is always lurking at the door.",""
